"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.288017826E2,6.501158026E1,2.550272692E1,1.592516941E1,3.338958740E1,1.460000038E0,8.669999695E1,4.299116666E-1,3.790092468E0,2.500000000E0,3.600000000E1
1.298097631E2,6.501158276E1,2.550275823E1,1.538414925E1,3.284857178E1,1.269999981E0,8.669999695E1,4.313526010E-1,3.790092468E0,2.500000000E0,3.600000000E1
1.307951036E2,6.501158592E1,2.550278798E1,1.611101233E1,3.357543945E1,1.169999957E0,7.900000000E1,4.323028172E-1,3.790092468E0,2.500000000E0,3.600000000E1
1.317963280E2,6.501158763E1,2.550280780E1,1.610844594E1,3.357287598E1,3.799999952E-1,7.990000153E1,4.330907908E-1,3.790092468E0,2.500000000E0,3.600000000E1
1.327909316E2,6.501158868E1,2.550282439E1,1.664598025E1,3.411041260E1,7.200000286E-1,7.959999847E1,4.338774122E-1,3.790092468E0,2.500000000E0,3.600000000E1
1.337907475E2,6.501158926E1,2.550284108E1,1.644736970E1,3.391180420E1,6.100000143E-1,7.980000305E1,4.345243789E-1,3.790092468E0,2.500000000E0,3.600000000E1
1.347874273E2,6.501158834E1,2.550285468E1,1.637400418E1,3.383843994E1,5.500000119E-1,7.990000153E1,4.353999832E-1,3.790092468E0,2.500000000E0,3.600000000E1
1.357875852E2,6.501158827E1,2.550287332E1,1.713285212E1,3.459729004E1,7.500000000E-1,8.469999695E1,4.364953315E-1,3.790092468E0,2.500000000E0,3.600000000E1
1.367975415E2,6.501158778E1,2.550289661E1,1.638779342E1,3.385223389E1,9.499999881E-1,8.509999847E1,4.379539569E-1,3.790092468E0,2.500000000E0,3.700000000E1
1.377929577E2,6.501158945E1,2.550292741E1,1.683725213E1,3.430169678E1,1.610000014E0,7.690000153E1,4.395511019E-1,3.790092468E0,2.500000000E0,3.700000000E1
1.387908815E2,6.501159441E1,2.550295932E1,1.693612361E1,3.440057373E1,1.559999943E0,7.700000000E1,4.410427775E-1,3.790092468E0,2.500000000E0,3.700000000E1
1.397924353E2,6.501159792E1,2.550298997E1,1.625771303E1,3.372216797E1,1.490000010E0,7.700000000E1,4.425599848E-1,3.790092468E0,2.500000000E0,3.700000000E1
1.407948559E2,6.501159968E1,2.550302200E1,1.521559442E1,3.268005371E1,1.399999976E0,7.700000000E1,4.438422817E-1,3.790092468E0,2.500000000E0,3.700000000E1
1.417931998E2,6.501159819E1,2.550304907E1,1.613575779E1,3.360021973E1,1.139999986E0,9.150000000E1,4.452186847E-1,3.790092468E0,2.500000000E0,3.700000000E1
1.427998445E2,6.501159600E1,2.550307791E1,1.505164875E1,3.251611328E1,1.419999957E0,8.709999847E1,4.466822843E-1,3.790092468E0,2.500000000E0,3.700000000E1
1.437972194E2,6.501159476E1,2.550310893E1,1.538501958E1,3.284948730E1,1.379999995E0,8.709999847E1,4.481913006E-1,3.790092468E0,2.500000000E0,3.700000000E1
1.447960766E2,6.501159501E1,2.550314105E1,1.603058459E1,3.349505615E1,1.490000010E0,8.250000000E1,4.496740029E-1,3.790092468E0,2.500000000E0,3.700000000E1
1.457984640E2,6.501159564E1,2.550317258E1,1.596539514E1,3.342987061E1,1.470000029E0,8.219999695E1,4.510770279E-1,3.790092468E0,2.500000000E0,3.700000000E1
1.468015592E2,6.501159609E1,2.550320243E1,1.598187099E1,3.344635010E1,1.330000043E0,8.519999695E1,4.524656707E-1,3.790092468E0,2.500000000E0,3.700000000E1
1.478005582E2,6.501159718E1,2.550323188E1,1.624169382E1,3.370617676E1,1.500000000E0,8.369999695E1,4.538491436E-1,3.790092468E0,2.500000000E0,3.700000000E1
1.487990275E2,6.501159836E1,2.550326120E1,1.572301323E1,3.318750000E1,1.259999990E0,8.419999695E1,4.549056547E-1,3.790092468E0,2.500000000E0,3.700000000E1
1.497975153E2,6.501159912E1,2.550328362E1,1.547880868E1,3.294329834E1,9.599999785E-1,8.250000000E1,4.555928639E-1,3.790092468E0,2.500000000E0,3.700000000E1
1.508013441E2,6.501159912E1,2.550329825E1,1.537754965E1,3.284204102E1,4.699999988E-1,8.259999847E1,4.558732385E-1,3.790092468E0,2.500000000E0,3.700000000E1
1.517833020E2,6.501159726E1,2.550330228E1,1.477275247E1,3.223724365E1,0.000000000E0,NaN,4.559726112E-1,3.790092468E0,2.500000000E0,3.700000000E1
1.528021698E2,6.501159659E1,2.550330368E1,1.455168320E1,3.201617432E1,0.000000000E0,NaN,4.562407450E-1,3.790092468E0,2.500000000E0,3.700000000E1
1.538031749E2,6.501159646E1,2.550330938E1,1.482646286E1,3.229095459E1,3.700000048E-1,8.250000000E1,4.569857451E-1,3.790092468E0,2.500000000E0,3.700000000E1
1.548006125E2,6.501159788E1,2.550332488E1,1.485337705E1,3.231787109E1,8.799999952E-1,8.250000000E1,4.582336339E-1,3.790092468E0,2.500000000E0,3.700000000E1
