"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.262899070E0,-4.989045858E-1,1.316115379E0,1.501161575E0,2.057802603E0
1.267882351E0,-4.444841146E-1,1.341228843E0,1.682175636E0,2.196855892E0
1.272867507E0,-4.792403281E-1,1.342432380E0,1.726803780E0,2.239117522E0
1.277852612E0,-4.461011589E-1,1.319285870E0,1.778888702E0,2.259195978E0
1.282837768E0,-6.040854454E-1,1.514423609E0,1.802789688E0,2.430730086E0
1.287822872E0,-7.255496979E-1,1.382472277E0,1.860733986E0,2.428988046E0
1.292808028E0,-5.132119656E-1,9.530892372E-1,2.024163246E0,2.295430779E0
1.297791414E0,-3.725908101E-1,6.113972664E-1,2.156657219E0,2.272399808E0
1.302776570E0,-4.425369203E-1,4.094566107E-1,2.124725342E0,2.208608480E0
1.307761674E0,-5.461185575E-1,3.538156748E-1,2.017310143E0,2.119662997E0
1.312746830E0,-6.935623884E-1,3.966248035E-1,1.791666985E0,1.961736630E0
1.317731934E0,-8.627340794E-1,3.237193823E-1,1.510033607E0,1.768984405E0
1.322717091E0,-8.896371722E-1,7.530200481E-2,1.322435379E0,1.595606475E0
1.327700424E0,-7.735580206E-1,-3.105992079E-1,1.235126495E0,1.490101117E0
1.332685580E0,-5.817888379E-1,-7.769860029E-1,1.213815689E0,1.554198838E0
1.337670684E0,-3.957836628E-1,-1.119408011E0,1.183980942E0,1.676761723E0
1.342655841E0,-3.530814648E-1,-1.244590282E0,1.164656639E0,1.740717260E0
1.347640945E0,-4.295474887E-1,-1.189053535E0,1.179787636E0,1.729236311E0
1.352626101E0,-5.825631022E-1,-9.748950005E-1,1.339123726E0,1.755862291E0
1.357609382E0,-8.134720325E-1,-7.851485014E-1,1.663884163E0,2.011642469E0
1.362594539E0,-1.149445772E0,-6.949677467E-1,2.101286888E0,2.493915062E0
1.367579643E0,-1.569934607E0,-7.460976839E-1,2.539128304E0,3.077097490E0
1.372564799E0,-1.808898807E0,-9.875718355E-1,3.047016144E0,3.678548682E0
1.377549903E0,-1.930691957E0,-1.351192951E0,3.531970024E0,4.245951728E0
1.382535059E0,-2.104804277E0,-1.773495555E0,3.891725540E0,4.766656607E0
1.387518393E0,-2.409906864E0,-2.103112936E0,4.232005119E0,5.304771668E0
1.392503549E0,-2.662406445E0,-2.484444380E0,4.474218369E0,5.768838875E0
1.397488653E0,-2.856997967E0,-2.912838936E0,4.632992744E0,6.173466597E0
1.402473809E0,-3.069088697E0,-3.258800030E0,4.701327324E0,6.491653231E0
1.407458914E0,-3.221696854E0,-3.476953506E0,4.705654144E0,6.679200343E0
1.412444070E0,-3.423615456E0,-3.528978348E0,4.626962662E0,6.751563851E0
1.417427403E0,-3.565855503E0,-3.427221775E0,4.611083031E0,6.761897757E0
1.422412559E0,-3.570477724E0,-3.257954836E0,4.588541031E0,6.664629748E0
1.427397664E0,-3.264989853E0,-3.262760878E0,4.547574997E0,6.479676353E0
1.432382820E0,-2.825775146E0,-3.140475988E0,4.476460457E0,6.155184224E0
1.437367924E0,-2.320690870E0,-3.253926754E0,4.260792732E0,5.841917506E0
1.442353080E0,-1.757626295E0,-3.503696442E0,3.932100296E0,5.552166396E0
1.447336414E0,-1.369382858E0,-3.520671368E0,3.552720070E0,5.185764764E0
1.452321570E0,-7.562741637E-1,-3.688644409E0,3.330267906E0,5.026801420E0
1.457306674E0,-3.003304601E-1,-3.862658501E0,3.082559586E0,4.951010268E0
1.462291830E0,1.533743441E-1,-3.893748045E0,2.733123779E0,4.759701999E0
1.467276934E0,4.798406363E-1,-3.962895393E0,2.427726746E0,4.672113450E0
1.472262091E0,7.335302830E-1,-3.957179785E0,2.139796257E0,4.558077067E0
1.477245424E0,9.133233428E-1,-3.883430243E0,1.861946106E0,4.402503070E0
1.482230580E0,1.010814905E0,-3.822629452E0,1.648922920E0,4.284062266E0
1.487215684E0,1.022106528E0,-3.676666737E0,1.373925209E0,4.055890843E0
1.492200841E0,7.815908194E-1,-3.316940308E0,1.013316154E0,3.555247789E0
1.497185945E0,2.309598476E-1,-2.708847046E0,6.415319443E-1,2.793341727E0
1.502171101E0,-4.220056534E-1,-2.142508984E0,3.041267395E-1,2.204750913E0
1.507154434E0,-1.050543070E0,-1.751777530E0,3.692054749E-2,2.042970480E0
1.512139591E0,-1.512130618E0,-1.567357063E0,-8.145809174E-2,2.179399594E0
1.517124695E0,-1.807311773E0,-1.591573596E0,-1.922464371E-1,2.415872730E0
1.522109851E0,-1.979094267E0,-1.681294560E0,-3.956146240E-1,2.626799659E0
1.527094955E0,-2.033496380E0,-1.784639239E0,-5.407180786E-1,2.759061576E0
1.532080112E0,-2.050404549E0,-1.868950367E0,-6.777887344E-1,2.855964260E0
1.537024434E0,-2.088027477E0,-1.892028093E0,-8.282833099E-1,2.936951190E0
1.542009591E0,-2.143673897E0,-1.864051700E0,-1.015974998E0,3.016990506E0
1.546994695E0,-2.127853155E0,-1.768782973E0,-1.209773064E0,3.019917734E0
1.551979851E0,-2.148553371E0,-1.623422861E0,-1.440725327E0,3.054091165E0
1.556964955E0,-2.129437208E0,-1.502194643E0,-1.665792465E0,3.092887988E0
1.561950112E0,-2.075519562E0,-1.412236214E0,-1.875493526E0,3.133635037E0
1.566972455E0,-1.994018674E0,-1.329498410E0,-2.098585606E0,3.185551450E0
1.571957351E0,-1.842417955E0,-1.294256568E0,-2.301727295E0,3.219868402E0
1.576942247E0,-1.687341452E0,-1.244173765E0,-2.518424034E0,3.276819975E0
